ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
LHW,KWE,CZ ,W,1380,Y,CNY       
JIC,XIY,MU ,B,940,Y,CNY       
HFE,XNN,MU ,D,2820,C,CNY       
DYG,XIY,MU ,F,2480,F,CNY       
DLC,LHW,DR ,T,560,Y,CNY       
DYG,LHW,MU ,D,1590,C,CNY       
BAV,XIY,GJ ,J,500,Y,CTP       
KWE,TAO,MU ,J,4400,C,CNY       
KHN,YNZ,MU ,R,450,Y,CNY       
HRB,HFE,QW ,Q,1210,Y,CNY       
LZO,CGO,CZ ,A,850,Y,CNY       
HRB,HFE,QW ,U,910,Y,CNY       
JNZ,PVG,FM ,I,1330,C,CNY       
DLC,TYN,HU ,E,770,Y,CTP       
XIY,JIC,GS ,H,870,Y,CNY       
PVG,MIG,FM ,S,820,Y,CNY       
NGB,DLC,HU ,K,930,Y,CTP       
BAV,XIY,MU ,P,990,Y,CNY       
XIY,NNG,CZ ,H,1370,Y,CNY       
PVG,LZH,ZH ,S,660,Y,CNY       
KWL,XIY,CA ,G,1180,Y,CNY       
DYG,PVG,MU ,S,550,Y,CNY       
DLC,LHW,9C ,U,870,Y,CTP       
HRB,HFE,ZH ,S,900,Y,CNY       
CKG,NGB,3U ,V,820,Y,CNY       
TNA,CKG,KY ,H,1260,Y,CNY       
DSN,WUH,MU ,R,670,Y,CNY       
XIY,HYN,VD ,L,1050,Y,CNY       
LHW,KWE,UQ ,Y,1380,Y,CNY       
BAV,XIY,GJ ,C,3720,C,CNY       
CSX,TAO,QW ,W,1620,Y,CNY       
DYG,XIY,MU ,D,1010,C,CNY       
HFE,DSN,KN ,N,730,/,CNY       
LZO,WUH,MU ,F,2620,F,CNY       
TYN,DLC,FU ,N,560,Y,CNY       
YNJ,NGB,MU ,J,3880,C,CNY       
LHW,KWL,CA ,W,920,Y,CNY       
LYI,PVG,MU ,L,700,Y,CNY       
TYN,DLC,EU ,I,380,Y,CNY       
PVG,WXN,FM ,V,650,Y,CNY       
PVG,LZO,MF ,J,4650,C,CNY       
KWE,NGB,EU ,Q,920,Y,CNY       
NNG,XIY,BK ,K,1800,Y,CNY       
CGO,NGB,SC ,M,400,Y,CTP       
XIY,NNG,JD ,D,2700,C,CNY       
TNA,XMN,GT ,X,770,Y,CNY       
XIY,DYG,MU ,Y,750,Y,CNY       
BAV,XIY,G5 ,E,510,Y,CNY       
CGO,LZO,CZ ,E,660,Y,CNY       
TAO,KWE,EU ,F,3860,F,CNY       
JNZ,PVG,FM ,C,2390,C,CNY       
DLC,TYN,EU ,A,1630,C,CNY       
PVG,JNZ,FM ,E,1140,Y,CNY       
CGO,NGB,8L ,S,200,Y,CTP       
KWE,LHW,DZ ,Q,830,Y,CNY       
NNG,XIY,JD ,V,860,Y,CNY       
KWE,NGB,MU ,B,1380,Y,CNY       
XMN,CZX,KN ,S,450,/,CNY       
DYG,PVG,FM ,C,2600,C,CNY       
PVG,DYG,MU ,M,1240,Y,CNY       
